16:31:00.912,None
16:31:00.930,array('B', [0])
16:31:00.940,array('B', [0])
16:31:00.986,array('B', [0])
16:31:01.043,array('B', [0])
16:31:01.065,array('B', [0])
16:31:01.075,array('B', [0])
16:31:01.121,array('B', [0])
16:31:01.170,array('B', [0])
16:31:01.180,array('B', [0])
16:31:01.196,array('B', [0])
16:31:01.207,array('B', [0])
16:31:01.235,array('B', [0])
16:31:01.246,array('B', [0])
16:31:01.258,array('B', [0])
16:31:01.269,array('B', [0])
16:31:01.294,array('B', [0])
16:31:01.305,array('B', [0])
16:31:01.326,array('B', [0])
16:31:01.337,array('B', [0])
16:31:01.357,array('B', [0])
16:31:01.369,array('B', [0])
16:31:01.385,array('B', [0])
16:31:01.396,array('B', [0])
16:31:01.410,array('B', [0])
16:31:01.420,array('B', [0])
16:31:01.449,array('B', [0])
16:31:01.460,array('B', [0])
16:31:01.479,array('B', [0])
16:31:01.490,array('B', [0])
16:31:01.509,array('B', [0])
16:31:01.521,array('B', [0])
16:31:01.532,array('B', [0])
16:31:01.543,array('B', [0])
16:31:01.570,array('B', [0])
16:31:01.581,array('B', [0])
16:31:01.592,array('B', [0])
16:31:01.603,array('B', [0])
16:31:01.622,array('B', [0])
16:31:01.633,array('B', [0])
16:31:01.660,array('B', [0])
16:31:01.672,array('B', [0])
16:31:01.690,array('B', [0])
16:31:01.700,array('B', [0])
16:31:01.713,array('B', [0])
16:31:01.724,array('B', [0])
16:31:01.752,array('B', [0])
16:31:01.762,array('B', [0])
16:31:01.781,array('B', [0])
16:31:01.792,array('B', [0])
16:31:01.813,array('B', [0])
16:31:01.824,array('B', [0])
16:31:01.841,array('B', [0])
16:31:01.852,array('B', [0])
16:31:01.873,array('B', [0])
16:31:01.884,array('B', [0])
16:31:01.904,array('B', [0])
16:31:01.916,array('B', [0])
16:31:01.933,array('B', [0])
16:31:01.944,array('B', [0])
16:31:01.966,array('B', [0])
16:31:01.976,array('B', [0])
16:31:01.996,array('B', [0])
16:31:02.007,array('B', [0])
16:31:02.025,array('B', [0])
16:31:02.036,array('B', [0])
16:31:02.055,array('B', [0])
16:31:02.066,array('B', [0])
16:31:02.084,array('B', [0])
16:31:02.095,array('B', [0])
16:31:02.118,array('B', [0])
16:31:02.129,array('B', [0])
16:31:02.147,array('B', [0])
16:31:02.158,array('B', [0])
16:31:02.177,array('B', [0])
16:31:02.188,array('B', [0])
16:31:02.208,array('B', [0])
16:31:02.219,array('B', [0])
16:31:02.240,array('B', [0])
16:31:02.251,array('B', [0])
16:31:02.263,array('B', [0])
16:31:02.274,array('B', [0])
16:31:02.293,array('B', [0])
16:31:02.305,array('B', [0])
16:31:02.324,array('B', [0])
16:31:02.335,array('B', [0])
